"Rank","Player","Country","Prize"
"346","Gary Stone","Scotland","£28,443"
"347","Laurence Ryder","Australia","£28,245"
"348","Chris Aubrey","England","£28,084"
"349","Morihiro Hashimoto","Japan","£28,015"
"350","Julie Gore","Wales","£27,849"
"351","Keita Ono","Japan","£27,821"
"352","Martijn Kleermaker","Netherlands","£27,748"
"353","Sharon Prins","Netherlands","£27,601"
"354","Dave Honey","England","£27,369"
"355","Kurt Parry","Wales","£27,050"
"356","Jim Widmayer","USA","£26,991"
"357","Danny Baggish","USA","£26,762"
"358","Kenny Neyens","Belgium","£26,658"
"359","James Hurrell","England","£26,652"
"360","Rob Szabo","New Zealand","£26,403"
"361","Simon Whatley","England","£26,341"
"362","Barry Lynn","England","£26,275"
"363","Steve Duke Snr","Australia","£26,224"
"364","John Ferrell","England","£26,024"
"365","Benjamin Dersch","USA","£26,018"
"366","Randy van Deursen","USA","£25,842"
"367","Albertino Essers","Netherlands","£25,812"
"368","Marshall James","Wales","£25,800"
"369","Alexander Oreshkin","Russia","£25,550"
"370","Nandor Bezzeg","Hungary","£25,381"
"371","Phil Blackwell","England","£25,334"
"372","Russell Stewart","Australia","£25,202"
"373","Scott Dale","England","£25,175"
"374","Justin van Tergouw","Netherlands","£25,085"
"375","Ronald Briones","Philippines","£25,072"
"376","Dave Smith","England","£25,068"
"377","Mark Holden","England","£24,740"
"378","Les Fitton","England","£24,410"
"379","Niels Zonneveld","Netherlands","£24,410"
"380","Martyn Turner","England","£24,250"
"381","George Killington","England","£24,150"
"382","Lee Evans","England","£24,054"
"383","Mark Jones","England","£23,770"
"384","David Evans","England","£23,752"
"385","Hannes Schnier","Austria","£23,727"
"386","Davy van Baelen","Belgium","£23,697"
"387","Lee Palfreyman","England","£23,491"
"388","Dylan Duo","Gibraltar","£23,444"
"389","Tengku Hadzali Shah","Malaysia","£22,888"
"390","Chris Landman","Netherlands","£22,868"
"391","James Bailey","Australia","£22,847"
"392","Jason Wilson","England","£22,760"
"393","Derk Telnekes","Netherlands","£22,720"
"394","Daniel Day","England","£22,651"
"395","Steve Smith","England","£22,580"
"396","Ulf Ceder","Finland","£22,566"
"397","Corrinne Hammond","Australia","£22,521"
"398","Kevin Thomas","Wales","£22,375"
"399","Dave Whitcombe","England","£22,260"
"400","Eddie Dootson","England","£22,255"
"401","Andy Callaby","England","£22,199"
"402","Jimmy Mann","England","£22,155"
"403","Kevin Kenny","England","£22,100"
"404","Jay Foreman","England","£21,855"
"405","Roger Carter","USA","£21,836"
"406","Rusty Jake Rodriguez","Austria","£21,763"
"407","Steve Grubb","England","£21,429"
"408","Jarred Cole","England","£21,276"
"409","David Fatum","Canada","£20,798"
"410","Tony Martin","England","£20,684"
"411","Bradley Kirk","England","£20,638"
"412","Gavin Carlin","Northern Ireland","£20,400"
"413","Sam Head","England","£20,386"
"414","Dietmar Burger","Austria","£20,134"
"415","Colin Fowler","England","£20,115"
"416","Yuki Yamada","Japan","£20,041"
"417","Maik Kuivenhoven","Netherlands","£19,955"
"418","Xiaochen Zong","China","£19,857"
"419","Martin Atkins (Wigan)","England","£19,807"
"420","Anthony Fleet","Australia","£19,803"
"421","Shaun Narain","Canada","£19,752"
"422","Peter Johnstone","Scotland","£19,682"
"423","Andy Baetens","Belgium","£19,645"
"424","Kurt van de Rijck","Belgium","£19,534"
"425","Robbie Widdows","England","£19,529"
"426","Erwin Extercatte","Netherlands","£19,494"
"427","Dan Olson","Canada","£19,423"
"428","Ross Twell","England","£19,225"
"429","Mike van Duivenbode","Netherlands","£19,155"
"430","Jeffrey Sparidaans","Netherlands","£19,089"
"431","Wouter Vaes","Netherlands","£19,081"
"432","Louis Blundell","England","£19,025"
"433","Peter Hunt","New Zealand","£18,972"
"434","Brian Buur","Denmark","£18,966"
"435","William Borland","Scotland","£18,965"
"436","Fabian Roosenbrand","Netherlands","£18,762"
"437","Rhys Hayden","England","£18,672"
"438","Sven Groen","Netherlands","£18,604"
"439","Jason Lovett","England","£18,551"
"440","Kai Fan Leung","Hong Kong","£18,516"
"441","Steve Raw","England","£18,508"
"442","Justin Thompson","Australia","£18,439"
"443","Mike Zuydwijk","Netherlands","£18,434"
"444","Per Skau","Denmark","£18,308"
"445","Chuck Puleo","USA","£18,251"
"446","Koha Kokiri","New Zealand","£18,177"
"447","Jason Cullen","Ireland","£18,177"
